sku,has_packaging,category,unit_weight_grams,packaging_type
alias-31600,yes,paper,0.6,label
alias-31600,yes,plastic,8.0,flowpack
alias-22266,yes,plastic,8.0,flowpack
alias-22266,yes,paper,0.6,label
alias-22266,yes,plastic,8.0,flowpack
alias-57039,yes,plastic,10.0,flowpack
alias-57039,yes,paper,3.0,label
alias-95115,yes,paper,3.0,label
alias-95115,yes,plastic,15.0,flowpack
alias-76068,yes,plastic,8.0,flowpack
alias-76068,yes,plastic,8.0,flowpack
alias-76068,yes,paper,0.6,label
alias-23249,yes,plastic,10.0,flowpack
alias-23249,yes,paper,2.0,label
alias-31282,yes,paper,2.0,label
alias-31282,yes,plastic,15.0,flowpack
alias-16804,yes,plastic,20.0,flowpack
alias-16804,yes,paper,2.0,label
alias-92195,yes,paper,0.6,label
alias-92195,yes,plastic,8.0,flowpack
alias-92195,yes,paper,0.6,label
alias-92195,yes,plastic,8.0,flowpack
alias-27295,yes,paper,0.6,label
alias-27295,yes,plastic,8.0,flowpack
alias-27295,yes,plastic,8.0,flowpack
alias-27295,yes,paper,0.6,label
alias-74630,yes,paper,0.6,label
alias-74630,yes,plastic,26.0,thermoform
alias-26100,yes,paper,2.0,label
alias-26100,yes,plastic,15.0,flowpack
alias-23616,yes,plastic,15.0,flowpack
alias-23616,yes,paper,2.0,label
alias-88778,yes,plastic,15.0,flowpack
alias-88778,yes,paper,2.0,label
alias-30466,yes,paper,2.0,label
alias-30466,yes,plastic,20.0,flowpack
alias-57511,yes,plastic,10.0,flowpack
alias-57511,yes,paper,2.0,label
alias-45436,yes,plastic,15.0,flowpack
alias-45436,yes,paper,2.0,label
alias-65618,yes,plastic,7.0,flowpack
alias-73801,yes,plastic,7.0,flowpack
alias-93503,yes,plastic,2.7,sachet
alias-93503,yes,paper,0.102,label
alias-93503,yes,plastic,2.9,sachet
alias-93503,yes,paper,0.102,label
alias-32202,yes,plastic,2.7,sachet
alias-32202,yes,paper,0.102,label
alias-32202,yes,plastic,2.7,sachet
alias-32202,yes,paper,0.102,label
alias-53610,yes,plastic,3.0,thermoform
alias-53610,yes,plastic,3.0,thermoform
alias-17144,yes,plastic,16.0,thermoform
alias-65473,yes,plastic,16.0,thermoform
alias-48462,yes,plastic,2.7,sachet
alias-48462,yes,paper,0.102,label
alias-94291,yes,plastic,6.0,thermoform
alias-94291,yes,paper,0.5,label
alias-94291,yes,plastic,3.0,Tiefziehfolie
alias-55814,yes,mixed,2.0,sachet
alias-87900,yes,plastic,8.0,thermoform
alias-87900,yes,plastic,8.0,thermoform
alias-28836,yes,plastic,10.8,thermoform
alias-28836,yes,plastic,10.8,thermoform
alias-66951,yes,plastic,9.0,thermoform
alias-81325,yes,plastic,0.59,label
alias-81325,yes,mixed,8.2,tray
alias-22199,yes,tetrapak,8.5,tetrapak
alias-65939,yes,plastic,19.0,thermoform
alias-40974,yes,plastic,2.9,sachet
alias-40974,yes,paper,0.102,label
alias-40974,yes,paper,0.102,label
alias-40974,yes,plastic,2.7,sachet
alias-14892,yes,plastic,4.0,sachet
alias-87704,yes,plastic,2.1,flowpack
alias-87704,yes,plastic,2.13,flowpack
alias-52267,yes,plastic,3.0,thermoform
alias-52267,yes,plastic,3.0,thermoform
alias-93675,yes,plastic,3.0,thermoform
alias-93675,yes,plastic,3.0,thermoform
alias-31229,yes,plastic,4.0,sachet
alias-66138,yes,plastic,0.59,label
alias-66138,yes,mixed,8.2,tray
alias-34326,yes,paper,0.102,label
alias-34326,yes,plastic,2.7,sachet
alias-34326,yes,paper,0.102,label
alias-34326,yes,plastic,2.9,sachet
alias-58276,yes,plastic,2.7,sachet
alias-58276,yes,paper,0.102,label
alias-58276,yes,plastic,2.7,sachet
alias-58276,yes,paper,0.102,label
alias-30497,yes,paper,0.5,label
alias-30497,yes,plastic,3.0,thermoform
alias-30497,yes,plastic,3.0,Tiefziehfolie
alias-43887,yes,plastic,3.0,Tiefziehfolie
alias-43887,yes,plastic,3.0,thermoform
alias-43887,yes,paper,0.5,label
alias-86530,yes,plastic,4.0,sachet
alias-18813,yes,plastic,4.0,sachet
alias-59577,yes,plastic,4.0,sachet
alias-92097,yes,plastic,4.0,sachet
alias-18838,yes,plastic,2.0,sachet
alias-42171,yes,plastic,2.0,sachet
alias-96201,yes,plastic,4.0,sachet
alias-83774,yes,plastic,4.0,sachet
alias-92468,yes,plastic,6.0,thermoform
alias-37294,yes,plastic,3.4,none
alias-37294,yes,plastic,8.6,none
alias-78818,yes,paper,0.102,label
alias-78818,yes,plastic,2.9,sachet
alias-34954,yes,plastic,2.7,sachet
alias-34954,yes,paper,0.102,label
alias-91838,yes,plastic,2.7,sachet
alias-91838,yes,paper,0.102,label
alias-99750,yes,paper,0.102,label
alias-99750,yes,plastic,2.7,sachet
alias-12309,yes,paper,0.102,label
alias-12309,yes,plastic,2.7,sachet
alias-49629,yes,tetrapak,8.5,tetrapak
alias-97004,yes,plastic,4.0,sachet
alias-73275,yes,mixed,8.2,tray
alias-73275,yes,plastic,0.59,label
alias-73275,yes,plastic,5.37,tray
alias-64051,yes,tetrapak,8.5,tetrapak
alias-69199,yes,plastic,2.46,flowpack
alias-18474,yes,plastic,2.13,flowpack
alias-93979,yes,tetrapak,8.5,tetrapak
alias-93979,yes,tetrapak,8.5,tetrapak
alias-24191,yes,plastic,0.59,label
alias-24191,yes,plastic,5.37,tray
alias-24191,yes,mixed,8.2,tray
alias-73903,yes,plastic,0.59,label
alias-73903,yes,plastic,5.37,tray
alias-73903,yes,mixed,8.2,tray
alias-28812,yes,plastic,2.13,flowpack
alias-62109,yes,plastic,2.46,flowpack
alias-82428,yes,tetrapak,8.5,tetrapak
alias-13667,yes,plastic,1.75,flowpack
alias-21592,yes,plastic,1.75,flowpack
alias-57632,yes,plastic,2.13,flowpack
alias-14804,yes,plastic,2.46,flowpack
alias-64442,yes,tetrapak,8.5,tetrapak
alias-68400,yes,paper,0.102,label
alias-68400,yes,plastic,2.7,sachet
alias-68400,yes,paper,0.102,label
alias-68400,yes,plastic,2.9,sachet
alias-72275,yes,plastic,2.7,sachet
alias-72275,yes,paper,0.102,label
alias-72608,yes,plastic,2.7,sachet
alias-72608,yes,paper,0.102,label
alias-72608,yes,paper,0.102,label
alias-72608,yes,plastic,2.9,sachet
alias-17135,yes,plastic,8.6,none
alias-17135,yes,plastic,3.4,none
alias-69251,yes,plastic,6.5,flowpack
alias-52281,yes,plastic,4.0,sachet
alias-52191,yes,plastic,4.0,sachet
alias-96716,yes,plastic,20.3,thermoform
alias-96716,yes,paper,1.1,label
alias-96716,yes,paper,1.1,label
alias-96716,yes,plastic,20.3,thermoform
alias-51596,yes,paper,1.1,label
alias-51596,yes,paper,1.1,label
alias-51596,yes,plastic,40.6,thermoform
alias-51596,yes,plastic,40.6,thermoform
alias-25727,yes,paper,1.386,sachet
alias-11229,yes,mixed,7.0,sachet
alias-18190,yes,paper,1.386,sachet
alias-64720,yes,plastic,3.0,sachet
alias-14857,yes,paper,1.386,sachet
alias-14529,yes,paper,1.386,sachet
alias-17705,yes,plastic,3.0,sachet
alias-17705,yes,plastic,4.0,flowpack
alias-25065,yes,plastic,17.0,flowpack
alias-25065,yes,plastic,7.0,sachet
alias-25065,yes,plastic,0.1,label
alias-88991,yes,plastic,7.5,flowpack
alias-88991,yes,plastic,9.0,sachet
alias-88991,yes,mixed,0.1,label
alias-88991,yes,plastic,0.6,flowpack
alias-90159,yes,plastic,20.3,thermoform
alias-90159,yes,paper,1.1,label
alias-90159,yes,paper,1.1,label
alias-90159,yes,plastic,20.3,thermoform
alias-26830,yes,plastic,3.0,sachet
alias-24089,yes,plastic,0.6,flowpack
alias-24089,yes,plastic,9.0,sachet
alias-24089,yes,plastic,7.5,flowpack
alias-24089,yes,plastic,0.6,flowpack
alias-24089,yes,plastic,0.1,label
alias-24089,yes,plastic,0.6,flowpack
alias-24089,yes,plastic,0.6,flowpack
alias-24089,yes,plastic,0.6,flowpack
alias-24089,yes,plastic,0.6,flowpack
alias-42146,yes,plastic,13.0,sachet
alias-42146,yes,plastic,0.6,flowpack
alias-42146,yes,plastic,0.6,flowpack
alias-42146,yes,plastic,0.6,flowpack
alias-42146,yes,plastic,0.1,label
alias-42146,yes,plastic,0.6,flowpack
alias-42146,yes,plastic,0.6,flowpack
alias-42146,yes,plastic,0.6,flowpack
alias-34554,yes,plastic,9.0,sachet
alias-34554,yes,plastic,0.6,flowpack
alias-34554,yes,paper,1.1,label
alias-74722,yes,paper,1.1,label
alias-74722,yes,plastic,0.6,flowpack
alias-74722,yes,plastic,13.0,sachet
alias-31221,yes,mixed,7.0,sachet
alias-80002,yes,mixed,3.6,flowpack
alias-80002,yes,mixed,7.0,sachet
alias-77246,yes,plastic,4.0,flowpack
alias-77246,yes,plastic,3.0,sachet
alias-64379,yes,paper,1.386,sachet
alias-49263,yes,paper,1.386,sachet
alias-78091,yes,paper,1.1,label
alias-78091,yes,paper,1.1,label
alias-78091,yes,plastic,40.6,thermoform
alias-78091,yes,plastic,40.6,thermoform
alias-90248,yes,plastic,20.3,thermoform
alias-90248,yes,paper,1.1,label
alias-90248,yes,plastic,20.3,thermoform
alias-90248,yes,paper,1.1,label
alias-39127,yes,plastic,0.1,label
alias-39127,yes,plastic,0.6,flowpack
alias-86009,yes,plastic,0.1,label
alias-86009,yes,plastic,0.6,flowpack
alias-13263,yes,mixed,7.0,sachet
alias-45604,yes,paper,1.806,sachet
alias-68143,yes,paper,1.806,sachet
alias-68143,yes,paper,1.806,flowpack
alias-11087,yes,mixed,0.1,label
alias-11087,yes,paper,1.1,label
alias-11087,yes,plastic,3.0,sachet
alias-11087,yes,plastic,3.0,sachet
alias-77377,yes,mixed,0.1,label
alias-77377,yes,plastic,3.0,sachet
alias-71474,yes,paper,1.1,label
alias-71474,yes,plastic,3.0,sachet
alias-71474,yes,plastic,3.0,sachet
alias-71474,yes,mixed,0.1,label
alias-35615,yes,paper,1.1,label
alias-35615,yes,plastic,3.0,sachet
alias-35615,yes,plastic,3.0,sachet
alias-35615,yes,mixed,0.1,label
alias-27337,yes,plastic,0.1,label
alias-27337,yes,plastic,0.6,flowpack
alias-27337,yes,plastic,0.6,flowpack
alias-27337,yes,plastic,0.6,flowpack
alias-27337,yes,plastic,0.6,flowpack
alias-27337,yes,plastic,3.0,sachet
alias-17528,yes,plastic,0.6,flowpack
alias-17528,yes,paper,1.1,label
alias-17528,yes,plastic,0.6,flowpack
alias-17528,yes,plastic,0.6,flowpack
alias-17528,yes,plastic,0.6,flowpack
alias-17528,yes,plastic,3.0,sachet
alias-17528,yes,plastic,3.0,sachet
alias-17528,yes,paper,1.1,label
alias-56703,yes,mixed,10.7,sachet
alias-93184,yes,paper,1.1,label
alias-93184,yes,plastic,3.0,sachet
alias-93184,yes,paper,1.1,label
